time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-19T08:54:20.185Z,38.4235,142.1183,54.34,4.3,mb,,154,2.499,0.41,us,us6000gelc,2022-03-01T16:37:53.040Z,"71 km E of Ishinomaki, Japan",earthquake,9.6,10.4,0.142,14,reviewed,us,us
2021-11-19T20:07:00.307Z,38.2196,142.3149,23.77,4.3,mb,,108,2.742,0.97,us,us7000fwrp,2022-01-29T22:55:44.040Z,"91 km ESE of Ishinomaki, Japan",earthquake,7.6,1.6,0.142,15,reviewed,us,us
2021-10-04T21:06:32.940Z,38.1597,142.0234,45.5,4.5,mb,,116,2.729,1.16,us,us6000frpm,2021-12-10T21:14:09.040Z,"69 km ESE of Ishinomaki, Japan",earthquake,6.5,7.4,0.108,25,reviewed,us,us
2021-10-02T04:01:37.924Z,38.4927,142.1025,38.68,4.8,mb,,130,2.429,0.79,us,us6000fslh,2021-12-10T21:14:17.040Z,"70 km E of Ishinomaki, Japan",earthquake,10.2,3.3,0.227,10,reviewed,us,us
2021-09-30T08:45:31.183Z,38.5137,141.9969,67.62,4.6,mb,,126,2.384,0.57,us,us6000fqe1,2021-12-04T14:28:17.040Z,"61 km E of Ishinomaki, Japan",earthquake,7.2,6.4,0.039,194,reviewed,us,us
2021-09-27T15:30:39.142Z,38.1263,141.9171,57.48,4.3,mb,,143,2.74,0.55,us,us6000fqr8,2021-12-04T14:28:43.040Z,"near the east coast of Honshu, Japan",earthquake,8.3,9,0.178,11,reviewed,us,us
2021-09-27T10:58:49.791Z,38.5989,142.0474,59.21,4.6,mb,,142,2.315,1.03,us,us6000fqrb,2021-12-04T14:28:44.040Z,"59 km SSE of ?funato, Japan",earthquake,9.2,6.4,0.273,4,reviewed,us,us
2021-09-16T04:08:29.148Z,38.5782,142.355,35,4.6,mb,,142,2.422,0.8,us,us7000fdgr,2021-11-23T15:12:55.040Z,"77 km SE of ?funato, Japan",earthquake,9.2,2,0.182,9,reviewed,us,us
2021-09-12T16:36:10.229Z,37.8372,141.9857,42.47,4.4,mb,,129,3.033,0.64,us,us7000fakk,2021-11-23T15:10:46.040Z,"88 km SE of Ishinomaki, Japan",earthquake,7.8,7.2,0.144,15,reviewed,us,us
2021-06-29T16:36:11.151Z,38.6817,141.985,79.74,4.1,mb,,182,2.221,0.48,us,us7000eiah,2021-09-09T22:06:47.040Z,"49 km SSE of ?funato, Japan",earthquake,4.6,12.2,0.214,6,reviewed,us,us
2021-04-18T00:29:11.489Z,38.3481,141.95,41,5.6,mww,,40,2.532,0.89,us,us6000e2hf,2021-10-14T06:01:32.104Z,"57 km E of Ishinomaki, Japan",earthquake,6.6,1.9,0.052,35,reviewed,us,us
2021-04-16T11:51:37.879Z,38.3078,142.0674,51.72,4.5,mb,,139,2.596,0.52,us,us6000e21g,2021-07-03T16:47:40.040Z,"68 km E of Ishinomaki, Japan",earthquake,4.9,8.1,0.14,18,reviewed,us,us
2021-04-14T10:02:52.076Z,38.0913,142.5561,37.84,4.3,mb,,108,2.931,0.79,us,us6000e1fu,2021-06-19T21:25:35.040Z,"115 km ESE of Ishinomaki, Japan",earthquake,7.7,8.4,0.137,18,reviewed,us,us
2021-04-06T20:10:34.121Z,38.0568,142.3068,25.06,4.2,mb,,138,2.893,0.72,us,us6000dzhz,2021-06-12T21:37:54.040Z,"96 km ESE of Ishinomaki, Japan",earthquake,7.3,5.5,0.124,21,reviewed,us,us
2021-02-16T22:07:22.425Z,38.3386,141.9324,41.44,4.6,mb,,130,2.537,0.94,us,us6000di6z,2021-04-23T21:04:48.040Z,"55 km E of Ishinomaki, Japan",earthquake,7.8,6.4,0.065,71,reviewed,us,us
